shenase1,name1,@pic_path1,shenase2,name2,@pic_path2
1802206,"<h1 class=""product-title inline my-0"">پودر اسید فریک کلراید مدار چاپی 100 گرمی",C:\py\L1415533348406593.jpg,1802217,"<h1 class=""product-title inline my-0"">پودر اسید نیتراتی مدار چاپی 100 گرمی",C:\py\L1426408117716077.jpg
1802292,"<h1 class=""product-title inline my-0"">پودر اسید مایع مدار چاپی آمونیومی 250 گرمی",C:\py\L150865528954597.jpg,1802031,"<h1 class=""product-title inline my-0"">فیبر مدار چاپی 15*10 استخوانی",C:\py\L1334772583592593.jpg
1802061,"<h1 class=""product-title inline my-0"">فیبر مدار چاپی 20*15 فایبرگلاس یک رو",C:\py\L1342994206888690.jpg,1802192,"<h1 class=""product-title inline my-0"">مایع فلاکس 1 لیتری درب نارنجی P700  RESINE",C:\py\L1556688974906982.jpg
0404068,"<h1 class=""product-title inline my-0"">ماژول سنسور دما و رطوبت HTU21D",C:\py\L1645694579486533.jpg,0404091,"<h1 class=""product-title inline my-0"">سنسور دما و رطوبت SHT30",C:\py\L1635661161928874.jpg
1501001,"<h1 class=""product-title inline my-0"">سوکت 8 پین",C:\py\L132877103827467.jpg,1501002,"<h1 class=""product-title inline my-0"">سوکت 14 پین",C:\py\L1328775523491022.jpg
