shenase,name,price,new_price,off,@pic_path
1505019,ترمینال فونیکس صاف 4 پین,"۴۲,۰۰۰","۳۵,۵۰۰",۱۵,D:\ddddddddddddddd\python_learn\L1337127009221919.jpg
1604046,ماژول ترموستات دیجیتال XH-W1209,"۵۹۰,۰۰۰","۵۲۰,۰۰۰",۱۱,D:\ddddddddddddddd\python_learn\L1602671687134946.jpg
1802202,تمیز کننده نوک هویه رنگ مشکی,"۸۵۰,۰۰۰","۷۳۰,۰۰۰",۱۴,D:\ddddddddddddddd\python_learn\L1582093210743533.jpg
2201004,ماژول آردوینو MEGA2560,"۵,۵۶۰,۰۰۰","۴,۳۲۷,۰۰۰",۲۲,D:\ddddddddddddddd\python_learn\L1523098284809972.jpg
1502014,دیپ سوئیچ 8 کاناله,"۴۲,۹۰۰","۳۷,۰۰۰",۱۳,D:\ddddddddddddddd\python_learn\L1336597455708375.jpg
